Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
1086,-0.17524+0.053019i,0.12708-0.19628i,0.95496-0.20553i,-0.039725+0.40843i,-0.5987-0.41935i,0.38871+0.97955i,0.79513-0.58847i,-0.57441+0.88337i,0.34553-0.38341i,-0.34155-0.75627i,-0.66279+0.95974i,1.1171-0.25169i,0.36482-0.32098i,-0.39034+0.14506i,-1.2961+0.37951i,0.65562+0.52105i,-0.038085-1.5081i,0.456+0.099885i,-0.18111-0.014549i,-0.14507-0.22187i,1.0002+0.020313i,-0.74728-0.12153i,-0.50526+0.59701i,0.29134-0.3227i,-0.14971-0.70991i,-0.13321+0.75328i,0.56997+0.51023i,-0.17088-1.2784i,0.36724+0.63358i,-0.87162-0.56139i,0.19646-0.53626i,1.3546+0.73093i,-0.87437+0.45062i,0.57086-0.057348i,0.11191+0.47625i,-0.17032-1.0341i,-0.47084+0.06813i,0.48278+1.5292i,-0.82121-1.0717i,0.608+0.43505i,-0.24457-0.67658i,-0.288-0.015763i,-0.066408-0.43124i,1.0148+1.0634i,0.075987-0.28232i,-0.70347-1.0539i,0.91987+0.29659i,-0.87778+1.1194i,0.77364-0.92193i,0.098004+0.77059i,0.38684-0.41525i,-0.55634-0.45615i,-0.52937+0.79727i,0.84833-0.6787i,-0.74787+0.41342i,0.20675-0.085066i,0.11978-1.0371i,-0.57413+0.40534i,0.61738-0.82229i,-0.09529+0.48787i,0.87204+0.56669i,-0.41035+0.065809i,-0.45731-0.50605i,-0.38732+0.77421i,1.3215-0.57025i,-0.54701+0.71058i,-0.40617-0.088986i,0.51591-0.069465i,-1.1621-0.47281i,0.78772-0.69131i,-1.1452+0.86937i,0.87734-0.15316i,0.019545+0.87218i,-0.20547-1.236i,0.65212-0.24424i,-0.20935+1.655i,-0.46398-0.0055927i,0.64537-0.98956i,-1.0171+0.84832i,-0.55235-0.22527i,0.93525+0.24027i,-0.90921-0.49141i,0.36906+0.76508i,0.9298-1.0183i,-0.13209-0.22412i,-0.74127+1.2289i,-0.37393-1.1924i,0.23672-0.54079i,1.3399+0.67501i,-1.3024+0.70854i,0.38172-1.198i,-0.076512+0.88872i,-0.16988-0.54262i,0.6591+0.91371i,-0.016265+0.18307i,0.065207-1.1447i,0.031081-0.17466i,0.51195+0.99497i,-1.3476-0.073803i,1.5894-0.21806i,-0.80355+0.13564i,3
1087,-0.22209+0.6781i,-0.054496-1.5783i,-0.70559+0.93047i,0.91036+0.68292i,0.35832-1.131i,-0.58859+1.1259i,0.033166-0.91579i,0.42451+0.16308i,-0.6627-0.52133i,-0.03001-0.20693i,-0.16048+0.85465i,0.59196-1.11i,-0.5424-0.015837i,0.10721+0.48386i,0.050699+0.60496i,-0.63741-0.78469i,0.6261+0.43133i,-0.77416-0.45035i,0.27239+0.13385i,0.44452-0.81065i,-0.43426+0.61439i,-0.069887-0.034018i,-0.72473+0.045108i,0.55586-1.2078i,0.42708+1.7335i,-0.9247-0.93137i,0.22352+0.11144i,-0.089632-0.013588i,0.07474-1.0055i,0.44948+0.040382i,-0.050371+0.91135i,-0.15437-0.59351i,-0.22294+0.33052i,-0.091551-0.051988i,0.43567+0.90303i,-0.92483-0.99163i,0.98976+0.70378i,-0.42042-0.09758i,0.50966-0.66849i,-0.38501+0.75129i,-0.02418+0.098886i,-0.7952-0.44679i,-0.32546+0.24812i,0.0023773-0.48964i,0.98558+0.6804i,-0.35535-0.093262i,-1.0776-0.10716i,-0.18814-0.051656i,0.96143+0.67276i,0.14688-0.15384i,-0.090404-0.45281i,0.45218+0.31514i,-0.14478+0.46571i,-0.25014+0.53324i,-0.097673+0.23209i,0.69166-0.9169i,-0.59088+1.2194i,0.038534-0.81856i,-0.018759-0.59203i,-0.67367+1.0242i,0.60778+0.55404i,-0.81479-0.26664i,-0.022032-1.0031i,-0.54961+0.5498i,1.188+0.34756i,-0.25098+0.56616i,-0.91748-0.98919i,1.0336+0.66384i,-0.0021102+0.18108i,0.18696-0.80478i,-0.10187+0.36318i,-0.040213-0.60715i,0.88678+0.46316i,-0.8191-0.069243i,1.048+0.058825i,-0.89197-0.68283i,0.86233+0.32836i,-1.3875+0.59109i,0.81989+0.074035i,0.56978-0.018268i,-0.64115-0.40251i,-0.63398+0.030452i,0.89565+0.0095826i,0.72463-0.11245i,-0.6677+0.53947i,-0.39417-0.19763i,0.11271-1.0689i,0.0799-0.18319i,-0.45255+0.53776i,1.0132+0.67023i,-1.1342-0.63324i,0.62479+0.40643i,0.47438-0.6789i,-0.069477+0.36282i,-1.2132+0.2685i,0.96099+0.71661i,0.42307-0.54299i,-0.1307+0.47683i,-0.48568-0.73046i,-0.47286+0.71039i,0.41218-0.40862i,2
1088,-0.74554+0.16321i,0.69363+0.50139i,-0.066135+0.14773i,-0.87553-0.44214i,0.45807-0.90285i,-0.49911+0.67886i,0.66062+0.52333i,-0.92768-0.45966i,0.42244-0.912i,0.31747+1.2709i,-0.90194-0.43062i,-0.17975-0.083114i,1.2864-0.32432i,0.13834+0.087645i,-0.69029-0.54636i,0.099362-0.18449i,0.098695-0.14281i,0.081575-0.13066i,0.95846+0.44898i,-1.2662+0.30398i,0.66958+0.53233i,-0.084423+0.12149i,-0.30667-1.2928i,-0.53315+0.674i,0.67383+0.50848i,-0.31714-1.3042i,0.040746-0.15601i,0.30553+1.2412i,-0.9047-0.42421i,1.2646-0.2821i,-1.2607+0.32703i,-0.16007-0.10986i,1.257-0.27177i,-0.69606-0.5343i,0.090956-0.1595i,0.31835+1.2933i,-0.89631-0.41624i,0.42457-0.919i,0.30731+1.2828i,-0.061517+0.14743i,-0.078368+0.10009i,-0.075049+0.15841i,0.48984-0.61868i,-0.68151-0.55066i,0.90131+0.46097i,-0.42354+0.89184i,-0.094503+0.15583i,-0.069848+0.16606i,-0.11886+0.15404i,0.52498-0.67305i,-0.42319+0.91257i,-0.055744+0.14078i,-0.3146-1.2582i,0.93934+0.44036i,0.15036+0.068276i,0.16946+0.069488i,-1.3038+0.3039i,1.2871-0.31427i,-1.2948+0.29218i,-0.20656-0.065617i,0.70029+0.51128i,0.5823-0.65684i,0.14784+0.071595i,0.17918+0.040613i,-0.44956+0.90975i,-0.055209+0.1038i,0.53111-0.69766i,-1.268+0.2766i,0.43176-0.90433i,0.32091+1.3086i,-0.29589-1.2586i,-0.54192+0.73491i,1.2853-0.33236i,-1.2771+0.2978i,1.2255-0.32045i,0.17058+0.060516i,-0.43069+0.91655i,-0.91957-0.4144i,-0.14933-0.079847i,0.40114-0.9373i,0.91022+0.40556i,-1.2856+0.31364i,0.47302-0.9146i,0.33303+1.2896i,-0.89079-0.4186i,1.2488-0.32083i,0.15336+0.05112i,-1.283+0.35027i,-0.15294-0.095303i,-0.15061-0.084687i,1.2907-0.29719i,-1.2839+0.3156i,1.2583-0.29658i,0.16077+0.10454i,-1.2559+0.30962i,0.401-0.95168i,0.072785-0.15534i,0.019961-0.15031i,-0.46237+0.66658i,1.2981-0.35953i,-0.57315+0.20714i,1
1089,0.12523+0.75119i,-0.33738-1.287i,0.29103+1.2793i,-0.082721+0.14489i,-0.29343-1.3131i,0.060239-0.17311i,0.2871+1.3058i,-0.30382-1.2572i,0.89565+0.40575i,-0.43537+0.97089i,0.56389-0.67802i,0.18062+0.10354i,-0.72784-0.54571i,-0.53382+0.68331i,-0.15631-0.020367i,0.43875-0.8689i,0.07403-0.19037i,0.91309+0.41933i,-1.286+0.34071i,0.66167+0.54819i,0.53538-0.6849i,-0.70714-0.518i,-0.53759+0.67972i,0.41409-0.90316i,0.065013-0.10161i,0.31191+1.2251i,-0.27604-1.2791i,0.030726-0.16855i,-0.50038+0.71014i,0.71808+0.50688i,-0.33145-1.2506i,-0.5095+0.66858i,-0.18272-0.096658i,0.72047+0.56627i,-0.32103-1.2782i,0.92371+0.40503i,-0.42022+0.91519i,-0.30159-1.2872i,0.022699-0.16972i,0.92689+0.48555i,0.12556+0.074498i,-1.2545+0.30636i,0.48354-0.91413i,0.086645-0.17768i,0.90999+0.45956i,-1.2559+0.30546i,-0.1905-0.071099i,0.65694+0.50686i,-0.89532-0.4323i,-0.18202-0.11671i,-0.17919-0.060995i,1.2934-0.29909i,-1.2534+0.29135i,1.3374-0.30804i,-1.2744+0.33447i,1.2713-0.34357i,0.19045+0.020205i,0.17615+0.0375i,-0.67975-0.52638i,-0.55452+0.68946i,0.61706+0.5908i,-0.29326-1.2662i,0.078488-0.14149i,0.899+0.47499i,-0.68809-0.53524i,0.91161+0.42846i,-0.66462-0.54271i,0.31951+1.3043i,-0.097131+0.14162i,-0.9501-0.48251i,0.69698+0.50536i,0.52154-0.66707i,-1.2315+0.31219i,0.69474+0.53891i,0.51907-0.6737i,0.15115+0.092579i,0.18933+0.10305i,-0.69551-0.53051i,0.93708+0.42089i,-0.66564-0.49818i,0.07179-0.17297i,-0.51971+0.68727i,1.274-0.32775i,-0.45969+0.93504i,-0.098459+0.12105i,-0.33209-1.3469i,-0.53195+0.68513i,0.47382-0.88607i,0.07423-0.14718i,0.090519-0.17361i,-0.52662+0.70898i,1.2986-0.33545i,-0.67842-0.50501i,0.3132+1.2602i,-0.94157-0.47071i,1.2997-0.32539i,-0.70399-0.55849i,0.092279-0.19797i,0.061062-0.16504i,0.9365+0.42348i,-0.54824+0.21176i,1
1090,0.11617+0.72626i,-0.9072-0.43594i,-0.13782-0.081562i,-0.20322-0.041586i,0.66463+0.53412i,-0.10887+0.14819i,0.55718-0.68724i,-1.3143+0.35242i,0.4508-0.90547i,0.28088+1.3109i,0.51642-0.67873i,0.18118+0.054511i,-1.298+0.27873i,1.2784-0.31597i,0.13297+0.055258i,0.132+0.11826i,0.15205+0.080914i,-1.2931+0.33411i,-0.16711-0.067591i,1.2684-0.31659i,-0.43442+0.89895i,-0.32198-1.2985i,0.34094+1.297i,0.52976-0.70173i,-0.7162-0.52639i,0.070725-0.13737i,0.91513+0.43932i,0.16762+0.064023i,-0.46251+0.86781i,-0.10103+0.12588i,-0.89609-0.42199i,-0.16184-0.084656i,0.70647+0.54767i,-0.35766-1.3414i,0.34498+1.2956i,-0.068827+0.16176i,-0.27666-1.2797i,-0.5311+0.65007i,0.67733+0.53079i,0.52619-0.73955i,-0.68805-0.50516i,0.32738+1.2883i,0.54862-0.74874i,-0.43161+0.90323i,-0.88584-0.41036i,0.6665+0.5114i,-0.92406-0.4266i,0.46716-0.90584i,0.27427+1.2882i,-0.081162+0.13702i,-0.090029+0.15788i,-0.31389-1.2787i,0.31418+1.2654i,-0.29901-1.2842i,-0.51991+0.64984i,0.45711-0.92367i,0.04569-0.15545i,0.29807+1.2622i,-0.91936-0.4357i,0.67077+0.54714i,-0.064076+0.14115i,0.51413-0.70462i,-1.2803+0.34238i,-0.1516-0.11134i,1.261-0.3177i,-0.71663-0.55115i,0.89258+0.45436i,-0.46021+0.87762i,0.48928-0.6328i,-0.45389+0.92048i,0.52813-0.65673i,-1.3062+0.33069i,-0.16843-0.066933i,0.43049-0.9164i,-0.506+0.70409i,0.6738+0.50737i,-0.071197+0.1801i,-0.31446-1.2724i,0.33544+1.3134i,-0.89811-0.44287i,1.2818-0.30962i,0.17234+0.080196i,-0.64147-0.51935i,0.3301+1.2607i,0.49959-0.68605i,0.16425+0.06679i,-0.6789-0.53237i,0.87382+0.43965i,-1.3055+0.34206i,0.67813+0.53713i,-0.074702+0.15364i,-0.34243-1.2497i,0.024374-0.16895i,-0.53159+0.65867i,0.41416-0.98131i,-0.53436+0.66938i,1.2782-0.27979i,0.17794+0.087912i,-0.68739-0.51427i,-0.51414+0.65541i,0.56051-0.19152i,1
1091,-0.35833-0.096231i,0.24839-0.14962i,-0.82164-0.044454i,0.95001-0.13605i,-0.49208+0.43883i,-0.40978+0.023116i,-0.37823-0.46691i,1.062+0.46818i,-0.55224-0.55919i,0.51029+0.35801i,-0.45677-0.33622i,1.306-0.0031308i,-0.28704+0.037939i,0.39194+0.45845i,-1.6474-0.028388i,0.51014+0.10261i,0.11036+0.12635i,-0.95732-0.30516i,0.79341+0.80808i,-0.44274-0.59781i,1.1804-0.23104i,-0.22634+0.3754i,-1.008+0.47845i,0.93222-0.79293i,0.26793+0.70724i,-0.83047-1.3045i,0.47022+0.044187i,0.27501+1.5998i,-0.23362-0.72591i,-0.25099+0.078469i,0.41633+0.54106i,-0.67345-0.83905i,0.81726-0.13824i,-0.2232-0.27546i,-0.851+0.86886i,0.92595+0.21932i,-0.25934-1.1392i,0.49338+0.13418i,0.04861+1.2929i,-0.76572-1.101i,0.59222+0.58371i,0.064814-0.39987i,0.34481-0.041851i,0.076863+0.5158i,-0.096614+0.017398i,-0.78786+0.066755i,-0.42246+0.018588i,1.3213-0.66364i,-0.51581+0.30122i,-0.42922+0.20673i,0.11817-0.74985i,0.56731+1.3701i,-1.2533-0.85871i,0.49518-0.57239i,0.40653+0.91056i,0.052443-0.40243i,-0.59091+0.11936i,0.83813-0.21955i,-1.0726-0.24312i,0.69285-0.16219i,0.69742-0.16635i,-1.1879+0.40107i,-0.29857-0.23846i,0.73311-0.66642i,0.32129+0.30658i,-0.75972-0.34062i,-0.023857+0.92186i,-0.018274-0.12356i,0.87811-0.59174i,-0.51889+0.95417i,0.53971-0.76894i,0.079982+0.52195i,-0.13418+0.836i,-0.16327-0.39268i,-0.87084-0.55043i,0.58075-0.76672i,-0.27888+1.1575i,1.0453-0.86724i,-0.34189+1.5555i,-0.21001-1.2214i,-1.1339+0.4778i,1.1272+0.27307i,0.10244-0.83291i,-0.076047+0.66319i,-0.60805-0.57001i,0.10585-0.29428i,0.46051+0.41731i,-1.1018+0.063796i,1.3213-0.69448i,0.11565+1.273i,-1.1293-0.54823i,-0.26051+0.086256i,0.79687-0.21352i,0.98248-0.15642i,-1.0611+1.1431i,0.85328-0.84886i,-0.69376+0.58453i,0.069141+0.70031i,0.085364-1.5892i,0.75857+0.54187i,-0.60218+0.22024i,3
1092,0.74554-0.14444i,-1.2715+0.34215i,1.3108-0.326i,-0.67763-0.53421i,0.92536+0.42369i,-0.43928+0.92405i,-0.31866-1.3121i,0.8771+0.46123i,-1.2668+0.30031i,0.66512+0.49868i,-0.35695-1.2488i,-0.48292+0.70511i,1.287-0.32811i,-1.2875+0.29893i,0.72312+0.51751i,-0.31776-1.2454i,0.30367+1.2524i,-0.91058-0.4588i,1.279-0.33094i,-0.40689+0.9134i,-0.2873-1.3176i,-0.52269+0.67772i,0.46314-0.91425i,0.91465+0.43893i,0.16027+0.074239i,-0.42532+0.94752i,-0.035342+0.15935i,-0.91176-0.42998i,1.2397-0.32015i,-0.43827+0.91599i,-0.042366+0.18701i,-0.3053-1.2632i,-0.52016+0.67825i,0.67946+0.55222i,-0.88903-0.42197i,0.65468+0.54479i,-0.04635+0.15623i,0.52641-0.72217i,-0.68901-0.52111i,0.90204+0.43234i,-0.44081+0.94221i,0.52893-0.66901i,-1.2792+0.35187i,1.2979-0.33372i,-1.2643+0.29602i,1.3502-0.31447i,-1.2773+0.34122i,0.65723+0.5402i,0.51907-0.6491i,0.1459+0.032534i,0.14911+0.081688i,-1.2912+0.30964i,1.3118-0.34733i,-0.71851-0.50434i,0.92273+0.41925i,0.15437+0.068392i,-0.42287+0.89807i,-0.31906-1.2461i,0.035232-0.17293i,-0.53696+0.67741i,0.67134+0.50409i,-0.32828-1.3014i,0.32187+1.2777i,-0.89947-0.41564i,-0.18016-0.072319i,0.47063-0.88061i,-0.55386+0.67597i,1.2603-0.32396i,-0.64248-0.5044i,0.92527+0.45531i,-0.67488-0.48955i,0.90177+0.4074i,-0.68431-0.55502i,-0.56799+0.6658i,0.41535-0.89881i,0.92713+0.37091i,-0.45819+0.89582i,-0.11064+0.16303i,-0.34133-1.2715i,-0.56966+0.69101i,0.66575+0.52566i,-0.35424-1.2393i,0.93898+0.40857i,-0.46784+0.9406i,-0.91263-0.44248i,0.39244-0.88235i,0.30839+1.2878i,-0.064849+0.17598i,-0.90717-0.38772i,1.2693-0.34857i,-0.68966-0.53327i,-0.54856+0.659i,1.2589-0.35978i,-0.43581+0.92191i,0.5192-0.70894i,-1.2892+0.2869i,-0.16053-0.098871i,1.2708-0.30067i,0.13822+0.081462i,-0.4407+0.91126i,-0.14638-0.55613i,1
1093,0.98932-0.18138i,-1.1577-0.32164i,0.9936-0.044479i,-0.86468-0.16425i,1.1255+0.61596i,-1.5836+0.099674i,0.18824+0.16409i,-0.25977-0.60478i,-0.056319-0.12837i,0.38356+0.7485i,-0.24172-0.52219i,-0.19928-0.70422i,1.3985+0.23274i,-0.96007+0.93136i,-0.34113-1.1576i,1.1578+0.61121i,0.0032596-0.52694i,-0.18371-0.25901i,0.90515+0.38423i,-0.71707+0.56552i,-0.12779-0.5481i,-0.57943+0.010878i,-0.11725-0.13185i,1.3099+0.26999i,-0.14925+0.46342i,-0.61862+0.26786i,-0.016475-0.91356i,-0.34807-0.3531i,1.0296-0.030995i,-0.57697-0.55074i,0.054065-0.24287i,0.96211+0.93476i,-0.38511-0.81403i,-0.48306-0.018655i,1.1239+0.60031i,-1.0327-0.65386i,-0.068581-0.19277i,1.1302+0.63452i,0.35579-0.24038i,0.22326+0.12277i,-0.059885+0.4488i,0.37959-0.22904i,-0.12762-0.17244i,-1.1169+0.19359i,0.42414-0.92877i,1.2225+0.55155i,-1.045+0.27252i,0.1869-0.3854i,-0.1255+0.93729i,0.14358-0.20063i,-0.47651-0.85321i,-0.54353+0.58712i,0.80398+0.062847i,-0.21614-1.2302i,-0.016761+0.8075i,0.069865-1.0598i,0.32164+1.0328i,-0.16839-0.57083i,-0.60034+0.045223i,-0.12862-0.14069i,0.37071+0.77519i,-0.10909-1.5145i,0.50286+0.082841i,-0.37683+0.63394i,0.97935+0.14131i,-0.3941-0.79077i,-0.0135+0.96351i,-0.51563-0.82429i,-0.26967+0.20071i,0.87875+0.042406i,-0.18612+0.41781i,-0.26494-1.2124i,1.2092+0.56592i,-0.5387-0.47524i,-0.3841+0.64428i,0.56336-0.1346i,-0.57708+0.12788i,-0.16742-0.64442i,0.0044196-0.18288i,0.84339+0.97862i,-1.39-0.25433i,-0.21764-0.088456i,1.1912+0.3769i,-0.87311-0.98385i,1.0165-0.010537i,0.54946+0.2251i,-0.55971-0.40396i,0.22809+0.50855i,-0.42751+0.81118i,0.71416-0.41123i,-1.2213+0.3428i,-0.044821-1.0343i,-0.28814+0.15688i,1.13-0.36754i,-0.63361+1.0991i,0.65256-1.0214i,-0.6359+1.1293i,0.40639-0.61183i,0.75139-0.10706i,-0.86501-0.69664i,0.22448+0.74332i,2
1094,0.43214+0.54463i,-0.73242-0.32944i,0.30733+0.22861i,0.57926-0.018069i,-1.0117-0.66668i,0.20081+1.1431i,0.39563-0.65078i,-0.50519+0.80096i,0.23437+0.38743i,-0.029734-1.4295i,0.88383+0.40968i,-0.93444-0.68199i,0.21489+0.44199i,-0.12169+0.95121i,-0.24243-0.55081i,-0.19051-0.68573i,0.47183+0.71043i,-0.50522-0.87621i,0.75608+0.34013i,0.751-0.041164i,-0.83121-0.10042i,0.21715+1.1952i,-0.078663+0.184i,-0.27476-1.0417i,-0.51016+0.67477i,0.094646-0.35225i,-0.0013061+0.57464i,-0.48842-0.18245i,0.61797-1.0947i,0.25913+0.54848i,-0.95711-0.097067i,0.658+0.35729i,0.34968+0.34748i,-0.86749-1.0278i,0.38117+0.10945i,0.16856+0.55508i,-0.526-0.82374i,1.3895+0.22956i,-1.3127+0.70254i,0.20881-1.3826i,0.70343+1.335i,-0.38213-0.14182i,-1.0135-0.061987i,0.0689-0.45911i,0.64345+0.39777i,0.16254-0.93608i,-0.67692+1.034i,0.58968-1.122i,-0.25797-0.3861i,0.47905+0.057059i,-1.0292+0.68825i,0.30917-0.83603i,1.1241+0.6477i,-0.40012-0.75145i,-0.23672-0.37024i,0.69158+1.3607i,-1.0073+0.044275i,-0.51012-0.26117i,0.59196-1.2071i,-0.42222+0.5486i,0.78237-0.60724i,0.48576+0.2141i,-0.60689+1.1187i,-0.50917-0.166i,-0.3134-0.66362i,-0.13293-0.14388i,0.5562-0.212i,-0.23587+0.30093i,0.94405+0.12996i,-0.78448+0.62351i,-0.48342-0.16027i,-0.19879+0.0035706i,0.83747+0.16044i,-0.37116-0.11603i,0.091629+0.70138i,-0.67752-1.3524i,0.61559-0.27741i,-0.26528-0.40373i,0.42844+1.6968i,-1.2529-0.59433i,1.7273-0.44622i,-0.41333+0.20216i,-0.47409+0.80512i,-0.50679-0.12169i,1.4229-0.6099i,0.19595+0.11945i,-0.82463-0.052376i,-0.62897-0.023366i,0.39487+0.74397i,-0.34067-1.1643i,0.86188+1.0021i,-0.65338+0.26556i,0.15268-0.25972i,-0.024963+0.086046i,-0.4077-0.15461i,0.037656+0.61724i,-0.079439+0.11836i,-0.59846-0.80681i,0.41699-0.91367i,-0.69393+0.92944i,0.75988-0.23904i,2
1095,0.13577-0.019756i,-0.39443+0.22313i,1.3132-0.40342i,-1.1267+0.52034i,0.99433-0.32502i,-1.4201+0.010394i,0.50963+0.021489i,0.26355+0.73426i,-0.38776-1.7405i,0.099283+0.86672i,0.1298+0.92558i,0.46701-0.26721i,-0.77663+0.15258i,-0.0067961-0.43333i,-0.19082-0.94171i,0.43574+0.87364i,-0.15783-0.8835i,0.60872+1.024i,-0.48451-1.0458i,0.26759+1.5911i,-0.21341-0.45599i,0.44197-0.6655i,-0.0011035+1.3032i,-0.0039572-1.3894i,-0.42076+1.1375i,0.1729-1.1349i,-0.5408-0.010929i,0.97287-0.084382i,-1.0397+0.83504i,0.49934+0.20678i,0.43295+0.15289i,-0.35995-0.86132i,0.34709+1.0205i,0.39002-0.31118i,-0.72942+0.90464i,-0.092137-1.4428i,-0.33899+0.10577i,-0.029662+0.68322i,0.34766-0.2326i,0.46873+0.13777i,-0.50052+0.53112i,-0.67827-0.27134i,0.28304-0.27965i,-0.65727+0.095817i,0.19406+0.18196i,1.0683-0.51305i,-0.15401-0.18119i,0.29091-0.20901i,-0.5291-0.5689i,0.8365+0.2553i,0.0057971+0.6598i,0.059296+0.86427i,-1.086-1.0427i,0.16026-0.51186i,1.1583+0.068494i,-1.4685+0.7533i,0.82737-0.70284i,-0.85754+0.45606i,0.47369-1.0125i,0.26509+1.0898i,-0.5062+0.33794i,0.43686-1.1053i,-0.2279-0.028017i,-0.8476+0.3656i,0.36402+0.29676i,-0.08694-0.78307i,0.72301+0.36284i,-1.382+0.14293i,0.56495-1.2126i,1.1743+0.86127i,-1.4825+0.088074i,-0.34311-0.1779i,-0.049506-0.318i,-0.097123+0.16749i,0.7534-0.23111i,-1.1932+0.21738i,0.70289-0.24725i,-0.45927+0.22236i,-0.028403-1.053i,0.45918-0.48429i,0.41596+1.4037i,-0.56136-1.0374i,1.1597+0.62112i,-1.5067-0.20679i,0.2777+0.43731i,0.73716-0.45574i,-0.26314+0.61261i,0.050258-0.40092i,0.60877+0.40085i,-0.42203+0.8744i,-0.34674+0.097078i,-0.3128-1.5448i,-0.35966+0.016795i,1.305-0.12i,-1.1065-0.083512i,0.31596+0.056812i,0.90419-0.22394i,0.011055-0.10116i,0.7234+0.38238i,-0.39684+1.0104i,-0.45861-0.50739i,3
1096,0.0077379+0.3071i,-1.0482-0.072612i,0.18032+0.17349i,-0.51033-0.28751i,0.79202+0.056638i,0.62189-0.038257i,-1.3085-0.29747i,0.79701-0.62973i,0.48477+0.15976i,-0.13554+0.35127i,-1.2178+0.22266i,1.6648-0.40145i,-1.1936-0.33677i,0.21565+1.1131i,0.13222-0.26674i,-1.0354-0.11855i,0.30283-0.85815i,-0.27761+0.18018i,0.87633+0.0073264i,-0.69268-0.47226i,0.38875+0.11332i,1.0419+0.091906i,-0.91272-0.71146i,0.31811+1.0243i,-0.66934+0.22713i,0.9812-0.85222i,-0.21111-0.28246i,-0.19581-0.39866i,-0.15302+0.13079i,1.1446+0.62937i,-0.72136-1.0418i,1.2276+0.58975i,-0.5603-0.40928i,0.19292+0.52684i,-1.2149+0.25865i,1.0646-0.31752i,-0.53399+0.15619i,0.046413+0.62894i,0.67464-1.025i,-0.97054+0.82572i,0.61633+0.57481i,-0.42032-1.7111i,0.451+0.035958i,-0.67632+1.0147i,-0.1815+0.029036i,0.21202+0.26772i,0.21043+0.37777i,-0.1144+0.18283i,-0.4585-0.041711i,-0.26399-0.5324i,0.43923+0.86109i,-0.45519-0.047985i,0.48989+0.038723i,0.56026-0.59538i,0.17468+0.11398i,-0.062006+0.50678i,-0.46611+0.86403i,0.16311-0.18993i,-1.3678-0.23194i,0.30256-0.85223i,0.077973+0.5107i,0.94705+0.1207i,-0.89534-0.049767i,-0.20565-0.66728i,0.11617+0.47723i,0.84415-0.51451i,-1.1127+0.19084i,-0.13123-0.1992i,0.98885+0.66348i,-0.76187-0.3897i,0.97286+0.14788i,-0.60824-0.37207i,0.25522+1.2379i,-0.83552-0.30416i,0.22205-1.4246i,0.6911+1.3087i,-1.379-0.23705i,1.1908+0.32375i,-0.82341-1.004i,0.27036-0.55162i,0.078521+1.4374i,0.49297+0.0025579i,-1.0348+0.060469i,0.49095-0.13598i,-0.25342-1.2214i,0.61902+0.70625i,-1.1848+0.27859i,1.1891+0.3274i,0.31401-0.1802i,-0.27951-0.12878i,0.43149+0.3029i,-0.91194-0.015324i,0.050813+0.63985i,0.61893-0.99871i,-0.81732-0.19506i,0.19823+1.1189i,0.26118+0.38669i,0.68809-0.90198i,-0.32787+0.84902i,-0.40316-0.091774i,-0.088379-0.27928i,2
